Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total Consumo
jul-19;615.559,33;650.150,78;1.039.585,88;1.265.710,11;3.403.064,45
ago-19;632.415,70;668.783,39;1.079.239,25;1.301.199,09;3.426.509,17
sep-19;587.861,84;616.079,30;981.804,63;1.203.941,14;3.115.468,09
oct-19;643.044,33;669.008,77;1.053.062,89;1.312.053,10;3.357.671,90
nov-19;620.572,21;643.070,35;1.131.732,56;1.263.642,56;3.506.811,29
dic-19;682.468,14;706.020,77;1.185.181,48;1.388.488,91;3.624.556,63
ene-20;622.323,79;640.011,73;1.193.942,44;1.262.335,52;3.500.222,47
feb-20;633.100,05;652.028,00;1.243.072,02;1.285.128,05;3.569.175,82
mar-20;509.752,95;573.586,73;1.111.259,74;1.083.339,68;3.223.968,68
abr-20;391.773,23;458.420,85;873.212,76;850.194,08;2.537.123,53
may-20;407.482,52;478.771,83;832.843,87;886.254,35;2.745.842,36
jun-20;388.952,81;516.933,60;789.734,05;905.886,41;2.688.356,61
jul-20;462.380,81;567.052,50;875.422,05;1.029.433,31;2.908.363,29
ago-20;574.379,33;647.375,58;894.965,61;1.221.754,91;3.182.976,13
sep-20;610.445,10;661.665,58;968.748,73;1.272.110,68;3.139.895,21
oct-20;648.582,82;680.362,07;1.080.480,55;1.328.944,89;3.472.743,19
nov-20;639.856,62;652.630,16;1.083.578,15;1.292.486,78;3.309.212,60
dic-20;760.695,45;768.193,03;1.289.110,39;1.528.888,48;3.922.256,69
ene-21;655.512,66;685.942,97;1.232.702,27;1.341.455,63;3.522.552,61
feb-21;621.712,09;669.312,88;1.283.552,44;1.291.024,97;3.656.998,74
mar-21;692.240,49;773.453,52;1.427.888,03;1.465.694,01;3.960.276,38
abr-21;610.310,75;688.389,03;1.278.367,50;1.298.699,78;3.634.750,06
may-21;643.076,84;707.336,38;1.200.963,69;1.350.413,22;3.621.637,71
jun-21;637.332,81;692.598,71;1.138.265,95;1.329.931,52;3.525.258,27
jul-21;665.472,94;740.193,13;1.208.648,56;1.405.666,07;3.742.529,15
ago-21;636.824,61;668.221,54;1.115.150,47;1.305.046,15;3.462.877,26
sep-21;605.257,76;670.418,80;1.113.234,30;1.275.676,56;3.384.977,69
oct-21;675.821,54;718.676,32;1.177.906,10;1.394.497,86;3.877.025,02
nov-21;641.916,40;708.246,27;1.234.541,50;1.350.162,67;3.683.212,82
dic-21;768.102,83;821.882,15;1.394.414,56;1.589.984,98;4.238.093,88
ene-22;622.475,13;684.004,37;1.294.256,21;1.306.479,50;3.813.859,53
feb-22;592.075,13;660.943,67;1.275.757,21;1.253.018,80;3.841.224,77
mar-22;599.582,36;703.127,90;1.345.196,11;1.302.710,26;4.010.260,93
abr-22;566.128,02;807.440,10;1.294.158,74;1.373.568,12;3.927.999,06
may-22;486.297,11;796.812,39;1.119.252,63;1.283.109,50;3.717.251,97
